Timestamp,Score,"On average, how many hours do you study per week  (School and self-study)    ? (Ex. 35)",How many exams or quizzes do you have per month? (Ex.5),"On average, how many hours do you sleep per night? (Ex.8)",How much financial pressure do you currently feel ?,"On a scale of 1-10, how would you rate your overall stress level this semester ? "
3/2/2026 21:40:44,0 / 40,50,6,6,4,8
3/2/2026 21:41:00,0 / 40,15,5,5,4,7
3/2/2026 21:42:17,0 / 40,12,12,12,3,7
3/2/2026 21:42:34,0 / 40,25,6,6,3,7
3/2/2026 21:43:25,0 / 40,36,4,6,3,6
3/2/2026 21:45:24,0 / 40,30,3,11,4,6
3/2/2026 21:46:54,0 / 40,45,4,6,3,6
3/2/2026 21:47:59,0 / 40,30,6,5-7,2,6
3/2/2026 21:51:36,0 / 40,30,5,8,3,6
3/2/2026 21:52:40,0 / 40,40,5,5,3,7
3/2/2026 21:54:54,0 / 40,36,6,3,4,8
3/2/2026 21:59:32,0 / 40,52,3,7,3,6
3/2/2026 22:00:22,0 / 40,11,8,7,3,7
3/2/2026 22:00:36,0 / 40,45,8,6,3,8
3/2/2026 22:36:31,0 / 40,10,4,6,2,5
3/2/2026 22:41:30,0 / 40,26,6-7,6,3,7
3/2/2026 23:01:44,0 / 40,40,5,6,2,6
3/2/2026 23:02:40,0 / 40,7,4,6,3,6
3/2/2026 23:06:20,0 / 40,65,25,5,2,10
3/2/2026 23:47:26,0 / 40,40,6,5,4,8
3/3/2026 1:25:31,0 / 40,40,4,5,4,8
3/3/2026 6:47:31,0 / 40,10,5,7,3,6
3/3/2026 6:58:01,0 / 40,40,10,6,3,9
3/3/2026 7:18:56,0 / 40,32-36,2,6-7,2,5
3/3/2026 9:02:48,0 / 40,20,2,5,5,7
3/3/2026 9:16:29,0 / 40,32,7,6,3,8
3/3/2026 9:49:56,0 / 40,48,3,7,4,7
3/3/2026 13:13:40,0 / 40,20,2,5,5,8
3/3/2026 21:23:38,0 / 40,36,3,7,3,6
3/3/2026 21:31:34,0 / 40,32,10,6,3,9
3/4/2026 0:41:54,0 / 40,24h,5,6h,4,8
3/4/2026 7:38:00,0 / 40,15,6-7,5-7,4,8
3/4/2026 10:28:00,0 / 40,15,10,5-7,5,10
3/4/2026 8:33:00,0 / 40,15,3,5-7,3,6
3/4/2026 8:53:00,0 / 40,32-36,3,5,5,9
3/4/2026 5:42:00,0 / 40,24h,6,7,2,6
3/4/2026 9:58:00,0 / 40,15,10,5,5,10
3/4/2026 3:53:00,0 / 40,24h,5,8,2,6
3/4/2026 3:16:00,0 / 40,52,5,5,5,9
3/4/2026 9:23:00,0 / 40,40,6,6,3,7
3/4/2026 5:11:00,0 / 40,24h,4,6h,4,7
3/4/2026 8:56:00,0 / 40,15,3,6,5,8