Timestamp,Which learning mode do you preferred?,How many close friends do you have at school? Ex: 10,"how effective is your solo, independent study time compared to being in a classroom?  ","how much do you value direct, face-to-face interaction with your instructors? ",how comfortable do you feel in a crowded classroom or busy campus environment?  
3/27/2026 16:09:44,IN-PERSON,20,8,10,8
3/28/2026 11:35:11,ONLINE,1,8,6,6
3/28/2026 11:37:10,IN-PERSON,3,5,7,7
3/28/2026 11:47:09,ONLINE,0,10,8,3
3/28/2026 12:08:36,IN-PERSON,12,7,9,5
3/28/2026 12:20:34,IN-PERSON,1,6,6,8
3/28/2026 14:05:59,IN-PERSON,3,7,8,8
3/28/2026 14:28:28,IN-PERSON,3,5,8,3
3/29/2026 12:52:18,IN-PERSON,5,9,7,5
3/29/2026 13:21:38,IN-PERSON,3,4,8,10
3/29/2026 13:51:27,ONLINE,20,9,5,6
3/29/2026 13:56:37,IN-PERSON,555,7,10,8
3/29/2026 13:59:16,ONLINE,1,8,8,6
3/29/2026 15:45:47,IN-PERSON,15,7,9,4
3/29/2026 15:54:35,IN-PERSON,10,6,8,8
3/29/2026 21:18:37,ONLINE,5,10,7,8
3/29/2026 22:56:22,IN-PERSON,5,9,10,5
3/29/2026 23:17:35,IN-PERSON,7,8,9,7